ID,Variant,Tiktok Category,Num. of Orders,VLOOKUP Name,Category,Sub-category,Product Name,Product Variant,Brand,Pack Size
1732817501280306479,Mặc định,Bọt biển & miếng cọ rửa,15,"[HÀNG TẶNG] Miếng rửa chén hình bông hoa, bông mút rửa bát siêu sạch - giao màu ngẫu nhiên",Quà tặng,Quà tặng,Miếng mút rửa chén,,No-brand,0
1732880134400804143,Anh Đào,Bột giặt,2,Revy Nước giặt xả em bé 2 trong 1 Chai 1.8L - Giúp quần áo cho bé mềm mại và an toàn cho da bé - Công Thức Ion Đột Phá Khử Mùi 99.9% Vi Khuẩn,Chăm sóc gia đình,Nước giặt xả em bé,NGX EB Anh Đào,1.8L,Revy,1.8
1732880134400869679,Ban Mai,Bột giặt,1,Revy Nước giặt xả em bé 2 trong 1 Chai 1.8L - Giúp quần áo cho bé mềm mại và an toàn cho da bé - Công Thức Ion Đột Phá Khử Mùi 99.9% Vi Khuẩn,Chăm sóc gia đình,Nước giặt xả em bé,NGX EB Ban Mai,1.8L,Revy,1.8
1732879791152203055,Chai 100ml,Chai khử trùng cầm tay,2,"[HÀNG CHÍNH HÃNG] I-ONCARE Nước ION xịt khuẩn cá nhân - 100ml & 500ml - Không hóa chất, an toàn da tay, loại bỏ vi khuẩn",Chăm sóc gia đình,Nước xịt khuẩn cá nhân,Nước xịt khuẩn cá nhân,100ml,IONCare,0.1
1732879791152268591,Chai 500ml,Chai khử trùng cầm tay,1,"[HÀNG CHÍNH HÃNG] I-ONCARE Nước ION xịt khuẩn cá nhân - 100ml & 500ml - Không hóa chất, an toàn da tay, loại bỏ vi khuẩn",Chăm sóc gia đình,Nước xịt khuẩn cá nhân,Nước xịt khuẩn cá nhân,500ml,IONCare,0.5
1732647804799386927,Bella,Chất tẩy cặn,1,"Revy Nước Xả Vải - Túi 3.2kg Hương Rosé & Bella - Công Nghệ ION Đột Phá, Giữ Màu Sợi Mềm Mại, Lưu hương bền lâu cả ngày, Hương thơm tinh tế",Chăm sóc gia đình,Nước xả vải,Nước xả vải Bella,Túi 3.2kg,Revy,3.2
1732647860664370479,Bella,Chất tẩy cặn,4,"[HÀNG CHÍNH HÃNG] Revy Nước Xả Vải 2kg Hương Rosé & Bella - Công Nghệ ION Đột Phá, Giữ Màu Sợi Mềm Mại, Lưu hương bền lâu cả ngày, Hương thơm tinh tế",Chăm sóc gia đình,Nước xả vải,Nước xả vải Bella,Chai 2kg,Revy,2
1733266601048638767,COMBO 3 CHAI,Chất tẩy cặn,1,[HÀNG CHÍNH HÃNG] Revy Nước Giặt Xả 2 trong 1 - Chai 2 kg - Công Nghệ ION Đột Phá Làm Sạch Hiệu Quả Mềm Vải Hương Thơm Mát Tiết Kiệm Thời Gian & Công Sức,Chăm sóc gia đình,Nước giặt xả 2-in-1,Nước giặt xả 2-in-1 3 Hương,Chai 2kg x 3 hương,Revy,6
1733266800506537263,COMBO 3 TÚI,Chất tẩy cặn,23,[MUA 1 TẶNG 2] Revy Túi Nước Giặt Xả 2 trong 1 - 3.2kg - Công Nghệ ION Đột Phá Làm Sạch Hiệu Quả Mềm Vải Hương Thơm Mát Tiết Kiệm Thời Gian & Công Sức,Chăm sóc gia đình,Nước giặt xả 2-in-1,Nước giặt xả 2-in-1 3 Hương,Túi 3.2kg x 3 hương,Revy,9.6
1732644672445252911,Hoa Hạ,Chất tẩy cặn,1,[HÀNG CHÍNH HÃNG] Revy Nước Giặt Xả 2 trong 1 - Chai 2 kg - Công Nghệ ION Đột Phá Làm Sạch Hiệu Quả Mềm Vải Hương Thơm Mát Tiết Kiệm Thời Gian & Công Sức,Chăm sóc gia đình,Nước giặt xả 2-in-1,Nước giặt xả 2-in-1 Hoa Hạ,Chai 2kg,Revy,2
